               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/bishop_mAP,    metrics/King_mAP,    metrics/pawn_mAP,   metrics/Queen_mAP,    metrics/rook_mAP,  metrics/Knight_mAP,metrics/bishop_mAP_50, metrics/King_mAP_50, metrics/pawn_mAP_50,metrics/Queen_mAP_50, metrics/rook_mAP_50,metrics/Knight_mAP_50
                  55,            0.061053,            0.054357,            0.039385,             0.60226,              0.3303,             0.18917,             0.06899,            0.068096,            0.063933,             0.03182,            0.004654,            0.004654,            0.004654,             0.15741,            0.061828,             0.14958,           0.0075158,                   0,            0.037606,             0.32815,             0.12313,             0.52403,            0.017445,                   0,             0.14225
                  56,            0.067022,            0.054735,            0.040618,             0.60226,              0.3303,             0.18917,             0.06899,            0.068096,            0.063933,             0.03182,            0.004555,            0.004555,            0.004555,             0.15741,            0.061828,             0.14958,           0.0075158,                   0,            0.037606,             0.32815,             0.12313,             0.52403,            0.017445,                   0,             0.14225
                  57,            0.069783,            0.061142,            0.039151,             0.79231,             0.40223,             0.39577,             0.16374,            0.046948,            0.061917,            0.031545,            0.004456,            0.004456,            0.004456,             0.13406,             0.46753,             0.28536,           0.0055899,            0.026104,            0.063804,             0.38746,             0.94249,             0.69798,            0.010754,             0.16481,             0.17112
                  58,            0.052858,             0.09183,            0.039437,             0.79231,             0.40223,             0.39577,             0.16374,            0.046948,            0.061917,            0.031545,            0.004357,            0.004357,            0.004357,             0.13406,             0.46753,             0.28536,           0.0055899,            0.026104,            0.063804,             0.38746,             0.94249,             0.69798,            0.010754,             0.16481,             0.17112
                  59,            0.049136,             0.05453,            0.039763,             0.64263,             0.36212,             0.35152,             0.15059,            0.051719,            0.060852,            0.030557,            0.004258,            0.004258,            0.004258,              0.2778,              0.1715,             0.28101,           0.0068189,            0.063899,              0.1025,             0.72048,             0.31783,             0.71252,            0.011051,             0.15792,              0.1893
                  60,            0.054898,              0.0678,            0.038927,             0.64263,             0.36212,             0.35152,             0.15059,            0.051719,            0.060852,            0.030557,            0.004159,            0.004159,            0.004159,              0.2778,              0.1715,             0.28101,           0.0068189,            0.063899,              0.1025,             0.72048,             0.31783,             0.71252,            0.011051,             0.15792,              0.1893
                  61,             0.05397,            0.064786,            0.039602,             0.84167,             0.41061,             0.52084,             0.28717,            0.043093,             0.06206,            0.030207,             0.00406,             0.00406,             0.00406,             0.47936,             0.62287,             0.41618,           0.0071908,            0.043375,             0.15406,             0.83346,             0.98476,             0.90387,            0.011188,              0.1071,             0.28465
                  62,            0.048793,            0.050089,            0.039112,             0.84167,             0.41061,             0.52084,             0.28717,            0.043093,             0.06206,            0.030207,            0.003961,            0.003961,            0.003961,             0.47936,             0.62287,             0.41618,           0.0071908,            0.043375,             0.15406,             0.83346,             0.98476,             0.90387,            0.011188,              0.1071,             0.28465
                  63,            0.052963,             0.06677,            0.038433,             0.90632,             0.46871,             0.52036,             0.28646,            0.048248,            0.061833,            0.029469,            0.003862,            0.003862,            0.003862,             0.66268,             0.47702,             0.30001,            0.011477,            0.030673,             0.23688,             0.95989,               0.995,             0.74618,            0.015285,             0.05015,             0.35565
                  64,            0.055181,            0.077774,            0.035328,             0.90632,             0.46871,             0.52036,             0.28646,            0.048248,            0.061833,            0.029469,            0.003763,            0.003763,            0.003763,             0.66268,             0.47702,             0.30001,            0.011477,            0.030673,             0.23688,             0.95989,               0.995,             0.74618,            0.015285,             0.05015,             0.35565
                  65,            0.055467,            0.043818,            0.042129,             0.91157,             0.46667,             0.57606,             0.29787,            0.037555,            0.057201,            0.029095,            0.003664,            0.003664,            0.003664,             0.35103,             0.57599,             0.60225,            0.018108,            0.082823,               0.157,             0.93703,               0.995,             0.95949,            0.027113,             0.16349,             0.37425
                  66,            0.041542,            0.041846,            0.039662,             0.91157,             0.46667,             0.57606,             0.29787,            0.037555,            0.057201,            0.029095,            0.003565,            0.003565,            0.003565,             0.35103,             0.57599,             0.60225,            0.018108,            0.082823,               0.157,             0.93703,               0.995,             0.95949,            0.027113,             0.16349,             0.37425
                  67,            0.044441,            0.061453,            0.037625,             0.87526,             0.47061,             0.54787,             0.31765,            0.044409,            0.061264,            0.028528,            0.003466,            0.003466,            0.003466,             0.53338,              0.6553,             0.39953,            0.015314,            0.083406,             0.21898,             0.93797,               0.995,             0.79382,             0.02384,             0.15375,             0.38287
                  68,             0.05522,            0.087239,            0.033302,             0.87526,             0.47061,             0.54787,             0.31765,            0.044409,            0.061264,            0.028528,            0.003367,            0.003367,            0.003367,             0.53338,              0.6553,             0.39953,            0.015314,            0.083406,             0.21898,             0.93797,               0.995,             0.79382,             0.02384,             0.15375,             0.38287
                  69,            0.053376,             0.06546,            0.034567,             0.96423,             0.46449,              0.5827,             0.35677,            0.034386,             0.05601,              0.0284,            0.003268,            0.003268,            0.003268,             0.50941,             0.63592,             0.70038,            0.028159,            0.066996,             0.19977,             0.93554,               0.995,             0.99425,             0.04295,             0.15439,             0.37408
                  70,            0.039944,            0.053412,            0.036173,             0.96423,             0.46449,              0.5827,             0.35677,            0.034386,             0.05601,              0.0284,            0.003169,            0.003169,            0.003169,             0.50941,             0.63592,             0.70038,            0.028159,            0.066996,             0.19977,             0.93554,               0.995,             0.99425,             0.04295,             0.15439,             0.37408
                  71,            0.036712,            0.054531,            0.037856,               0.866,             0.42719,             0.54839,             0.33584,            0.048667,            0.066903,            0.027978,             0.00307,             0.00307,             0.00307,             0.56646,             0.65762,             0.47038,            0.027188,            0.074733,             0.21864,             0.94223,             0.99109,             0.71338,            0.042148,             0.18683,             0.41465
                  72,            0.050631,            0.066137,            0.036942,               0.866,             0.42719,             0.54839,             0.33584,            0.048667,            0.066903,            0.027978,            0.002971,            0.002971,            0.002971,             0.56646,             0.65762,             0.47038,            0.027188,            0.074733,             0.21864,             0.94223,             0.99109,             0.71338,            0.042148,             0.18683,             0.41465
                  73,            0.049513,            0.070073,             0.03581,              0.8841,             0.46422,              0.5827,             0.32679,            0.041029,            0.061817,            0.027639,            0.002872,            0.002872,            0.002872,             0.53397,             0.38151,             0.60363,            0.035744,             0.10312,             0.30276,             0.96996,               0.995,             0.86673,            0.051086,             0.16464,             0.44878
                  74,            0.043744,             0.03948,            0.036784,              0.8841,             0.46422,              0.5827,             0.32679,            0.041029,            0.061817,            0.027639,            0.002773,            0.002773,            0.002773,             0.53397,             0.38151,             0.60363,            0.035744,             0.10312,             0.30276,             0.96996,               0.995,             0.86673,            0.051086,             0.16464,             0.44878
                  75,            0.047221,            0.069325,            0.034734,             0.92616,              0.4839,             0.62419,             0.40741,            0.034257,            0.055636,            0.027386,            0.002674,            0.002674,            0.002674,             0.70104,             0.67081,             0.63517,            0.042609,             0.15433,             0.24053,             0.98848,               0.995,               0.995,            0.065198,             0.24864,             0.45284
                  76,            0.043624,             0.08207,            0.034149,             0.92616,              0.4839,             0.62419,             0.40741,            0.034257,            0.055636,            0.027386,            0.002575,            0.002575,            0.002575,             0.70104,             0.67081,             0.63517,            0.042609,             0.15433,             0.24053,             0.98848,               0.995,               0.995,            0.065198,             0.24864,             0.45284
                  77,            0.036603,            0.053794,             0.03369,             0.89683,             0.47847,             0.62597,             0.36839,            0.040305,            0.059878,            0.027131,            0.002476,            0.002476,            0.002476,             0.65559,             0.43767,             0.60327,             0.01802,             0.11134,             0.38444,             0.98848,               0.995,             0.96425,            0.026324,             0.21884,             0.56292
                  78,            0.043489,            0.061623,            0.036959,             0.89683,             0.47847,             0.62597,             0.36839,            0.040305,            0.059878,            0.027131,            0.002377,            0.002377,            0.002377,             0.65559,             0.43767,             0.60327,             0.01802,             0.11134,             0.38444,             0.98848,               0.995,             0.96425,            0.026324,             0.21884,             0.56292
                  79,            0.043175,            0.050177,            0.035838,             0.97173,             0.47597,              0.6375,             0.44833,             0.02833,            0.053038,             0.02688,            0.002278,            0.002278,            0.002278,             0.74176,             0.59119,             0.76685,            0.055016,             0.14212,             0.39304,              0.9825,               0.995,               0.995,            0.074449,             0.18604,             0.59201
                  80,            0.042038,            0.059653,               0.034,             0.97173,             0.47597,              0.6375,             0.44833,             0.02833,            0.053038,             0.02688,            0.002179,            0.002179,            0.002179,             0.74176,             0.59119,             0.76685,            0.055016,             0.14212,             0.39304,              0.9825,               0.995,               0.995,            0.074449,             0.18604,             0.59201
                  81,            0.040939,            0.044017,            0.037505,             0.90051,             0.47675,             0.64744,             0.44432,            0.033103,            0.055824,            0.026659,             0.00208,             0.00208,             0.00208,             0.73664,             0.63759,              0.6926,             0.07751,            0.079134,             0.44243,               0.985,               0.995,              0.9914,             0.10636,             0.14319,             0.66372
                  82,            0.040532,            0.056776,            0.034726,             0.90051,             0.47675,             0.64744,             0.44432,            0.033103,            0.055824,            0.026659,            0.001981,            0.001981,            0.001981,             0.73664,             0.63759,              0.6926,             0.07751,            0.079134,             0.44243,               0.985,               0.995,              0.9914,             0.10636,             0.14319,             0.66372
                  83,            0.038309,            0.063604,            0.036616,                0.96,              0.4706,             0.66132,             0.43668,            0.029938,            0.054039,             0.02646,            0.001882,            0.001882,            0.001882,             0.74074,              0.5222,             0.67409,            0.085364,              0.1188,             0.47891,             0.98848,               0.995,               0.995,             0.13394,             0.16408,              0.6914
